obj,im1,im2,Him,Wim,H11,H12,H13,H21,H22,H23,H31,H32,H33
ll_carforcat,1,2,3000.0,4000.0,1.3618345805061185,-0.00103154751005872,-439.85939684512505,0.1020241147522808,1.2287376918687964,-274.44324666948313,8.462249061468685e-05,1.5700697534382452e-06,1.0
ll_seanema,1,2,3000.0,4000.0,1.43007733812512,0.0061279571542973595,-442.8294141626327,0.15291523912505942,1.2547406039594948,-374.8208156392539,0.0001106959674646676,-2.003863176733519e-06,1.0
ll_robotcat,1,2,3000.0,4000.0,1.3217925489838216,-0.029098101999915988,-227.34247246509622,0.1359583615779853,1.1636381884915665,-247.21659724991133,9.062685022436657e-05,-6.8454274374071036e-06,1.0
ll_reddoor,1,2,3000.0,4000.0,1.337886120375586,-0.02069621151142245,-265.75522511204423,0.12241031357675909,1.2028540319785772,-275.94271367003955,8.737096230399208e-05,-3.078680792156463e-06,1.0
ll_granite,1,2,3000.0,4000.0,1.2946389807885608,-0.02696402938243127,-205.0528595645029,0.13751152024563346,1.1597047978899175,-300.3360564448502,7.975356611624028e-05,-4.4482444366296155e-06,1.0
ll_taladcat,1,2,3000.0,4000.0,1.3723218365383985,-0.003147968716818076,-396.66022264997747,0.12064318196008272,1.237249815755561,-307.8975352848596,9.294837057409756e-05,4.492766206647459e-06,1.0
ll_taladlove,1,2,3000.0,4000.0,1.2988950597548719,-0.016559106694002325,-261.90152344105144,0.1022336091479898,1.1549842409283357,-205.8156666404776,7.819885540773476e-05,-3.4002953968085286e-06,1.0
ll_noodle,1,2,3000.0,4000.0,1.260113741831976,-0.003974010790802632,-187.0287195187637,0.07298183626920636,1.1583759543344798,-143.4176074279485,6.803608424996778e-05,2.94848963902587e-06,1.0
ll_chinesegirl,1,2,3000.0,4000.0,1.3823484318024597,0.005004621398973057,-349.8755555437771,0.10419602303022367,1.227228395012663,-267.88436656829924,9.45663253916958e-05,2.2010999545081618e-06,1.0
ll_brick,1,2,3000.0,4000.0,1.554967702837044,0.01530004234673853,-508.5146663107272,0.2036623196351487,1.3479970498711142,-474.3254960367011,0.000149787851278065,6.403750113382244e-06,1.0
ll_cats,1,2,3000.0,4000.0,1.366896797954287,0.006327961555675185,-397.3914831058151,0.0952537609488421,1.2487001798916317,-332.896379231899,7.432203593809181e-05,5.426200161343517e-06,1.0
ll_nobag,1,2,3000.0,4000.0,1.3896670895694863,-0.0061215696770533234,-366.4545575181769,0.2140207558567715,1.2278392975227093,-503.15121415636975,9.948079314068027e-05,-4.6392929740086295e-06,1.0
ll_starrynight,1,2,3000.0,4000.0,1.3156096151437668,-0.01141772884258392,-198.2255146275775,0.12302745460753331,1.1830717863050055,-275.6913316593228,8.439322456327591e-05,4.5619862082471484e-07,1.0
ll_chinesnewyear,1,2,3000.0,4000.0,1.3832930889022907,0.031225700991197865,-438.5809737287899,0.08786448922490939,1.2522589553252592,-285.39041703940006,8.331479016048405e-05,1.0928897099610536e-05,1.0
